6 90 21 
31 64 12 
6 91 9 
16 71 11 
35 64 1 
8 49 13 
18 86 13 
11 76 9 
23 79 25 
25 53 29 
16 66 18 
13 75 25 
24 76 18 
33 41 26 
15 59 16 
9 87 9 
27 61 26 
6 74 25 
19 60 12 
19 72 2 
26 63 16 
2 72 16 
9 51 22 
17 48 12 
14 69 14 
14 55 42 
14 61 14 
8 75 22 
22 62 14 
11 80 9 
20 70 15 
26 58 5 
38 48 4 
7 69 11 
2 85 22 
11 82 3 
25 66 35 
5 80 21 
11 56 22 
46 64 12 
28 54 20 
31 74 1 
20 58 17 
20 78 9 
13 93 9 
12 54 20 
18 68 19 
7 65 22 
46 59 18 
6 44 33 
22 63 16 
9 68 37 
23 51 12 
25 53 6 
15 90 20 
18 71 17 
24 54 19 
22 82 20 
16 58 9 
3 61 4 
27 59 10 
24 55 19 
19 89 25 
10 74 22 
7 61 34 
16 88 11 
13 67 13 
16 58 14 
15 42 12 
14 61 9 
1 62 20 
16 71 29 
9 82 33 
24 59 11 
26 55 5 
15 75 7 
11 60 23 
7 32 51 
23 50 20 
30 60 17 
30 63 11 
10 71 11 
22 77 6 
10 83 12 
7 77 14 
13 82 3 
21 58 19 
2 83 16 
20 52 4 
19 48 39 
44 49 13 
13 69 15 
21 64 12 
6 73 14 
36 45 16 
0 97 17 
17 67 7 
10 81 21 
19 56 10 
18 57 13 
13 52 7 
38 55 12 
15 63 7 
7 73 15 
9 43 25 
14 83 7 
12 84 11 
19 82 19 
2 85 16 
30 44 4 
11 63 17 
9 113 7 
9 66 25 
16 70 18 
31 52 16 
8 72 14 
17 60 7 
20 55 47 
20 66 10 
13 65 8 
12 88 35 
14 49 30 
3 62 13 
20 100 15 
22 57 34 
12 47 26 
9 74 24 
21 66 11 
10 57 21 
15 62 6 
3 65 28 
14 104 1 
17 61 32 
34 67 8 
34 70 28 
14 69 16 
10 77 12 
8 115 18 
31 75 3 
5 68 15 
14 55 31 
26 67 4 
29 32 26 
27 46 35 
25 62 26 
32 68 10 
17 74 2 
9 78 10 
10 58 26 
10 66 11 
13 71 35 
15 67 16 
4 63 38 
14 78 19 
17 67 3 
19 86 10 
17 36 21 
22 82 31 
24 89 9 
15 68 28 
11 74 5 
15 63 14 
5 83 18 
21 42 20 
35 90 19 
11 61 19 
9 82 12 
5 58 25 
0 84 11 
16 67 25 
35 48 35 
13 49 22 
19 49 23 
15 73 12 
18 63 7 
20 79 15 
18 51 9 
19 54 15 
18 73 27 
12 64 14 
7 65 23 
15 55 24 
5 80 12 
29 70 17 
6 68 21 
5 69 11 
8 72 22 
26 54 20 
8 73 26 
13 66 7 
12 75 23 
16 56 6 
8 100 6 
4 73 17 
1 91 34 
10 100 27 
31 76 19 
19 63 5 
32 41 24 
31 91 22 
18 82 14 
49 42 19 
6 61 48 
10 54 12 
12 82 4 
23 48 21 
9 63 9 
12 55 15 
19 52 30 
27 53 8 
7 68 39 
14 55 9 
13 58 15 
15 63 8 
32 62 9 
15 73 10 
27 56 7 
25 63 6 
21 68 2 
14 60 7 
15 60 13 
16 76 17 
2 63 3 
18 62 6 
24 53 3 
5 92 8 
9 67 15 
24 62 12 
11 64 14 
9 113 13 
15 51 25 
2 71 14 
12 86 22 
24 74 12 
11 93 18 
21 73 9 
54 46 0 
8 82 8 
10 76 22 
41 58 11 
25 74 5 
17 69 20 
12 58 20 
5 69 0 
30 70 7 
41 39 9 
8 88 3 
10 51 26 
5 76 20 
19 82 8 
17 55 14 
12 68 28 
34 52 23 
12 71 20 
45 62 17 
26 69 14 
10 80 10 
19 71 18 
1 73 9 
10 65 17 
11 70 26 
18 80 25 
10 73 17 
29 77 3 
16 67 26 
5 80 14 
7 53 3 
24 65 14 
23 67 15 
0 75 19 
4 101 14 
22 54 19 
4 66 21 
0 63 23 
22 82 16 
7 62 20 
20 53 16 
18 47 15 
18 63 18 
16 60 11 
7 75 24 
11 69 19 
3 51 18 
6 46 30 
14 84 12 
5 89 8 
18 68 22 
26 84 18 
20 69 11 
19 70 5 
5 63 8 
24 68 20 
13 93 12 
27 51 14 
13 55 9 
18 67 11 
10 60 9 
18 80 33 
14 50 31 
24 80 18 
14 78 16 
16 53 17 
19 79 2 
19 66 19 
17 56 19 
23 79 25 
9 81 2 
11 71 13 
36 39 28 
24 46 18 
9 81 10 
19 50 16 
11 83 7 
11 64 12 
22 91 10 
10 83 18 
12 81 9 
5 69 21 
16 52 15 
9 72 13 
22 55 5 
17 78 20 
36 55 25 
13 60 29 
26 48 37 
16 61 20 
38 51 8 
18 53 23 
21 53 9 
24 45 22 
19 33 16 
15 58 13 
46 58 7 
